,location_companies,location_schools,location_vegan,location_airports,location_starbucks,distance1,distance2,distance3,distance4
27,"{'type': 'Point', 'coordinates': [-78.8267112, 35.8535092]}","{'type': 'Point', 'coordinates': [-78.82826299999999, 35.85388500000001]}","{'type': 'Point', 'coordinates': [-78.82035180000001, 35.8577995]}","{'type': 'Point', 'coordinates': [-78.791381, 35.875232]}","{'type': 'Point', 'coordinates': [-78.8, 35.87]}",0.1460066495691308,0.7459054605903245,3.9974362726959227,3.02683951071163
28,"{'type': 'Point', 'coordinates': [-118.397818, 33.92854]}","{'type': 'Point', 'coordinates': [-118.4046123, 33.9247318]}","{'type': 'Point', 'coordinates': [-118.39592, 33.921102]}","{'type': 'Point', 'coordinates': [-118.402469, 33.944174]}","{'type': 'Point', 'coordinates': [-118.4, 33.92]}",0.7567049807478341,0.8456427450246331,1.791094562902284,0.9709853282554994
29,"{'type': 'Point', 'coordinates': [-71.0213788, 42.3983662]}","{'type': 'Point', 'coordinates': [-71.0306157, 42.3959632]}","{'type': 'Point', 'coordinates': [-71.014051, 42.40778]}","{'type': 'Point', 'coordinates': [-71.016407, 42.366566]}","{'type': 'Point', 'coordinates': [-71.01, 42.39]}",0.8044141061291774,1.207706333091637,3.5605259343331714,1.3189219477497613
30,"{'type': 'Point', 'coordinates': [-73.9822211, 40.7454098]}","{'type': 'Point', 'coordinates': [-73.99255409999999, 40.7529968]}","{'type': 'Point', 'coordinates': [-73.9812702, 40.747576]}","{'type': 'Point', 'coordinates': [-73.871986, 40.774554]}","{'type': 'Point', 'coordinates': [-73.98, 40.75]}",1.212521126449136,0.2539129708312466,9.836610355475914,0.5437743517502337
31,"{'type': 'Point', 'coordinates': [-73.9453758, 40.778334]}","{'type': 'Point', 'coordinates': [-73.95410679999999, 40.785624]}","{'type': 'Point', 'coordinates': [-73.9562222, 40.7753404]}","{'type': 'Point', 'coordinates': [-73.871986, 40.774554]}","{'type': 'Point', 'coordinates': [-73.95, 40.78]}",1.0946098624765652,0.9723479147076419,6.195728454893553,0.4313044620939108
32,"{'type': 'Point', 'coordinates': [-71.083762, 42.362856]}","{'type': 'Point', 'coordinates': [-71.0718037, 42.3564719]}","{'type': 'Point', 'coordinates': [-71.0820873, 42.3644396]}","{'type': 'Point', 'coordinates': [-71.016407, 42.366566]}","{'type': 'Point', 'coordinates': [-71.09, 42.36]}",1.2125077233293433,0.2235334116955713,5.550715177403503,0.6031143153049988
33,"{'type': 'Point', 'coordinates': [-123.1783566, 49.2685125]}","{'type': 'Point', 'coordinates': [-123.1662869, 49.26387769999999]}","{'type': 'Point', 'coordinates': [-123.18525, 49.2644806]}","{'type': 'Point', 'coordinates': [-123.180867, 49.193559]}","{'type': 'Point', 'coordinates': [-123.17, 49.27]}",1.016447479572724,0.6718866734148526,8.338791449555988,0.6286484154831777
34,"{'type': 'Point', 'coordinates': [-118.462421, 33.989029]}","{'type': 'Point', 'coordinates': [-118.462882, 33.9965264]}","{'type': 'Point', 'coordinates': [-118.4724679, 33.9923186]}","{'type': 'Point', 'coordinates': [-118.402469, 33.944174]}","{'type': 'Point', 'coordinates': [-118.45, 33.99]}",0.8349907402043846,0.9961628897063143,7.448213703386905,1.1505711748123109
35,"{'type': 'Point', 'coordinates': [-71.0597732, 42.3584308]}","{'type': 'Point', 'coordinates': [-71.059016, 42.3585793]}","{'type': 'Point', 'coordinates': [-71.0627071, 42.35144469999999]}","{'type': 'Point', 'coordinates': [-71.016407, 42.366566]}","{'type': 'Point', 'coordinates': [-71.06, 42.36]}",0.06438875306662695,0.8135978158878087,3.6771071959821064,0.17552883089401197
36,"{'type': 'Point', 'coordinates': [10.0184565, 53.5736401]}","{'type': 'Point', 'coordinates': [10.0272501, 53.57349000000001]}","{'type': 'Point', 'coordinates': [10.0118409, 53.58085380000001]}","{'type': 'Point', 'coordinates': [10.005648, 53.632001]}","{'type': 'Point', 'coordinates': [9.99, 53.56]}",0.5810137798977317,0.9135878493310752,6.54607823571593,2.41557851806626
37,"{'type': 'Point', 'coordinates': [-95.942336, 41.259751]}","{'type': 'Point', 'coordinates': [-95.9437054, 41.2607129]}","{'type': 'Point', 'coordinates': [-95.9377708, 41.2574411]}","{'type': 'Point', 'coordinates': [-95.899416, 41.299711]}","{'type': 'Point', 'coordinates': [-95.94, 41.26]}",0.15670406134136972,0.4601221614288094,5.711812203197524,0.19727069558311244
